t,s
9.03,0.49311654
9.045,0.49251311
9.06,0.49192829
9.075,0.49151899
9.09,0.49128122
9.105,0.49105933
9.12,0.49069778
9.135,0.49018843
9.15,0.48967257
9.165,0.48929879
9.18,0.48907813
9.195,0.48887628
9.21,0.48854661
9.225,0.4880718
9.24,0.48757563
9.255,0.48719675
9.27,0.48695248
9.285,0.48672577
9.3,0.4863827
9.315,0.48590132
9.33,0.48538587
9.345,0.48495811
9.36,0.48463872
9.375,0.48433358
9.39,0.48393018
9.405,0.48340354
9.42,0.48282982
9.435,0.48230398
9.45,0.48184953
9.465,0.48140563
9.48,0.48089278
9.495,0.4802857
9.51,0.4796265
9.525,0.47897629
9.54,0.47835982
9.555,0.47775262
9.57,0.47711283
9.585,0.47642048
9.6,0.4756898
9.615,0.474951
9.63,0.47422421
9.645,0.47350844
9.66,0.47279009
9.675,0.47205854
9.69,0.47131498
9.705,0.47056969
9.72,0.46983341
9.735,0.46911088
9.75,0.46840052
9.765,0.46769851
9.78,0.46700289
9.795,0.46631481
9.81,0.465637
9.825,0.46497139
9.84,0.46431791
9.855,0.46367479
9.87,0.46303979
9.885,0.4624112
9.9,0.46178797
9.915,0.46116928
9.93,0.46055399
9.945,0.45994044
9.96,0.45932657
9.975,0.45871029
9.99,0.45808966
10.005,0.45746293
